"strain,-","stress,MPa","stress,Pa"
0.1985,1710.159324789101,1710159324.789101
0.199,1710.159324797762,1710159324.7977622
0.1995,1710.1593248060008,1710159324.8060007
0.2,1710.1593248138377,1710159324.8138378
0.2005,1710.1593248212923,1710159324.8212924
0.201,1710.1593248283834,1710159324.8283834
0.2015,1710.1593248351287,1710159324.8351288
0.202,1710.159324841545,1710159324.8415449
0.2025,1710.1593248476483,1710159324.8476484
0.203,1710.159324853454,1710159324.853454
0.2035,1710.1593248589766,1710159324.8589766
0.204,1710.1593248642298,1710159324.86423
0.2045,1710.1593248692268,1710159324.8692267
0.205,1710.15932487398,1710159324.87398
0.2055,1710.1593248785016,1710159324.8785017
0.206,1710.1593248828026,1710159324.8828025
0.2065,1710.1593248868937,1710159324.8868937
0.207,1710.1593248907855,1710159324.8907855
0.2075,1710.1593248944873,1710159324.8944874
0.208,1710.1593248980087,1710159324.8980086
0.2085,1710.1593249013583,1710159324.9013584
0.209,1710.1593249045445,1710159324.9045446
0.2095,1710.1593249075754,1710159324.9075754
0.21,1710.1593249104585,1710159324.9104586
0.2105,1710.1593249132009,1710159324.9132009
0.211,1710.1593249158095,1710159324.9158096
0.2115,1710.1593249182908,1710159324.9182909
0.212,1710.1593249206512,1710159324.9206512
0.2125,1710.1593249228968,1710159324.9228969
0.213,1710.1593249250325,1710159324.9250324
0.2135,1710.159324927064,1710159324.9270642
0.214,1710.1593249289965,1710159324.9289966
0.2145,1710.1593249308348,1710159324.9308348
0.215,1710.1593249325836,1710159324.9325836
0.2155,1710.1593249342468,1710159324.9342468
0.216,1710.159324935829,1710159324.9358292
0.2165,1710.1593249373343,1710159324.9373343
0.217,1710.1593249387658,1710159324.9387658
0.2175,1710.1593249401278,1710159324.9401278
0.218,1710.1593249414232,1710159324.9414232
0.2185,1710.1593249426555,1710159324.9426556
0.219,1710.1593249438276,1710159324.9438276
0.2195,1710.1593249449425,1710159324.9449425
0.22,1710.1593249460032,1710159324.9460032
0.2205,1710.159324947012,1710159324.947012
0.221,1710.1593249479718,1710159324.9479718
0.2215,1710.1593249488847,1710159324.9488847
0.222,1710.159324949753,1710159324.949753
0.2225,1710.159324950579,1710159324.9505792
0.223,1710.1593249513646,1710159324.9513645
0.2235,1710.159324952112,1710159324.952112
0.224,1710.159324952823,1710159324.952823
0.2245,1710.1593249534992,1710159324.9534993
0.225,1710.1593249541424,1710159324.9541423
0.2255,1710.1593249547545,1710159324.9547546
0.226,1710.1593249553366,1710159324.9553366
0.2265,1710.1593249558903,1710159324.9558902
0.227,1710.1593249564169,1710159324.9564168
0.2275,1710.159324956918,1710159324.956918
0.228,1710.1593249573943,1710159324.9573944
0.2285,1710.1593249578477,1710159324.9578478
0.229,1710.159324958279,1710159324.9582791
0.2295,1710.1593249586892,1710159324.9586892
0.23,1710.1593249590794,1710159324.9590795
0.2305,1710.1593249594505,1710159324.9594505
0.231,1710.1593249598036,1710159324.9598036
0.2315,1710.1593249601394,1710159324.9601395
0.232,1710.159324960459,1710159324.960459
0.2325,1710.1593249607627,1710159324.9607627
0.233,1710.1593249610517,1710159324.9610517
0.2335,1710.1593249613268,1710159324.9613268
0.234,1710.1593249615883,1710159324.9615881
0.2345,1710.159324961837,1710159324.961837
0.235,1710.1593249620737,1710159324.9620738
0.2355,1710.1593249622988,1710159324.9622989
0.236,1710.159324962513,1710159324.962513
0.2365,1710.1593249627165,1710159324.9627166
0.237,1710.1593249629104,1710159324.9629104
0.2375,1710.1593249630946,1710159324.9630947
0.238,1710.15932496327,1710159324.96327
0.2385,1710.1593249634368,1710159324.9634368
0.239,1710.1593249635953,1710159324.9635954
0.2395,1710.1593249637463,1710159324.9637463
0.24,1710.1593249638897,1710159324.9638898
0.2405,1710.1593249640264,1710159324.9640265
0.241,1710.1593249641562,1710159324.9641562
0.2415,1710.1593249642797,1710159324.9642797
0.242,1710.1593249643972,1710159324.9643972
0.2425,1710.159324964509,1710159324.964509
0.243,1710.1593249646153,1710159324.9646153
0.2435,1710.1593249647167,1710159324.9647167
0.244,1710.1593249648126,1710159324.9648128
0.2445,1710.1593249649043,1710159324.9649043
0.245,1710.1593249649914,1710159324.9649913
0.2455,1710.1593249650741,1710159324.965074
0.246,1710.159324965153,1710159324.965153
0.2465,1710.1593249652278,1710159324.9652278
0.247,1710.1593249652992,1710159324.9652991
0.2475,1710.159324965367,1710159324.965367
0.248,1710.1593249654316,1710159324.9654315
0.2485,1710.1593249654927,1710159324.9654927
0.249,1710.1593249655511,1710159324.9655511
0.2495,1710.1593249656066,1710159324.9656067
0.25,1710.1593249656594,1710159324.9656594
